rule_set,category,rule_id,description
OWASP_3.2,Anomaly Detection,980130,Inbound Anomaly Score Exceeded
OWASP_3.2,Anomaly Detection,949110,Inbound Anomaly Score Exceeded
OWASP_3.2,General,200002,Failed to Parse Request Body.
OWASP_3.2,General,200003,Multipart Request Body Strict Validation.
OWASP_3.2,General,200004,Possible Multipart Unmatched Boundary.
OWASP_3.2,REQUEST-911-METHOD-ENFORCEMENT,911100,Method is not allowed by policy
OWASP_3.2,REQUEST-913-SCANNER-DETECTION,913100,Found User-Agent associated with security scanner
OWASP_3.2,REQUEST-913-SCANNER-DETECTION,913101,Found User-Agent associated with scripting/generic HTTP client
OWASP_3.2,REQUEST-913-SCANNER-DETECTION,913102,Found User-Agent associated with web crawler/bot
OWASP_3.2,REQUEST-913-SCANNER-DETECTION,913110,Found request header associated with security scanner
OWASP_3.2,REQUEST-913-SCANNER-DETECTION,913120,Found request filename/argument associated with security scanner
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920100,Invalid HTTP Request Line
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920120,Attempted multipart/form-data bypass
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920121,Attempted multipart/form-data bypass
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920160,Content-Length HTTP header is not numeric.
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920170,GET or HEAD Request with Body Content.
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920171,GET or HEAD Request with Transfer-Encoding.
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920180,POST request missing Content-Length Header.
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920190,Range: Invalid Last Byte Value.
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920200,Range: Too many fields (6 or more)
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920201,Range: Too many fields for pdf request (35 or more)
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920202,Range: Too many fields for pdf request (6 or more)
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920210,Multiple/Conflicting Connection Header Data Found.
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920220,URL Encoding Abuse Attack Attempt
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920230,Multiple URL Encoding Detected
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920240,URL Encoding Abuse Attack Attempt
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920250,UTF8 Encoding Abuse Attack Attempt
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920260,Unicode Full/Half Width Abuse Attack Attempt
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920270,Invalid character in request (null character)
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920271,Invalid character in request (non printable characters)
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920272,Invalid character in request (outside of printable chars below ascii 127)
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920273,Invalid character in request (outside of very strict set)
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920274,Invalid character in request headers (outside of very strict set)
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920280,Request Missing a Host Header
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920290,Empty Host Header
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920300,Request Missing an Accept Header
OWASP_3.2,REQUEST-920-PROTOCOL-ENFORCEMENT,920310,Request Has an Empty Accept Header
